gameId,name,won,kills,damageDealt,damageTaken,roundsSurvived,timesStuck,reward,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
1764924668,Reaper_1,1,10,537,5,1212,0,3938.6,1.57608,0.844326,1.35358,1.21132,0.887612,0.587816,0.648304,1.19391,0.846688,1.03899,0.505731,0.624582,1.18864,0.745026,1.43932,1.64073,1.1112,0,0.751112
1764924668,Reaper_1,1,11,511,27,472,3,3966.6,1.70695,0.700538,0.751715,0.709933,0.789969,0.617088,0.60081,1.32805,0.98044,0.968285,0.504856,1.11909,1.62084,0.714469,1.77263,1.12624,1.04851,0,0.830469
1764924668,Reaper_1,1,4,292,5,1154,3,2696.2,1.54699,0.969734,1.45765,1.09221,0.607142,0.589306,0.627433,0.938608,0.541571,1.17597,0.691563,0.926335,2.07866,0.629251,1.27567,1.19824,0.913075,0,0.757085
1764924668,Reaper_1,0,5,439,94,89,4,1847.2,1.73084,0.797434,0.984438,0.960697,0.776965,0.558638,0.497051,1.24287,0.769486,0.897673,0.688085,0.828392,2.12067,0.423364,1.52286,1.56654,1.10176,0,0.685207
1764924669,Reaper_1,1,4,485,43,1163,1115,827.4,1.7761,0.940445,1.06849,0.958667,1.09221,0.735756,0.692333,1.0419,0.5877,1.31387,0.800299,0.734325,1.98386,0.546061,0.890154,1.895,0.955927,0,0.560427
1764924669,Reaper_1,1,7,486,9,1101,0,3143.8,2.02796,0.867653,0.923513,0.906171,0.761536,0.448792,0.741274,1.37992,0.476037,0.941428,0.545609,0.669144,1.11351,0.747121,1.30313,1.10852,1.26412,0,0.469461
1764924669,Reaper_1,1,1,176,27,1254,1226,-523.8,1.59315,0.859244,1.21703,1.32135,0.945052,0.540523,0.3441,1.37883,0.534978,0.821866,0.682956,1.17124,1.50837,0.769445,1.7151,1.78278,0.799929,0,0.96117
1764924669,Reaper_1,1,5,351,23,1271,0,3095.8,1.16768,0.61726,0.899864,0.895695,0.836625,0.406981,0.543647,1.30387,0.726838,0.853999,0.417786,1.19873,1.25699,0.752628,0.689651,1.02088,0.855461,0,0.890629
1764924669,Reaper_1,1,7,419,39,1117,1,3490.6,1.25039,0.424561,1.34697,0.986006,0.868255,0.81522,0.449398,0.988176,0.853639,0.968033,0.647652,0.420598,1.18089,0.672003,1.81016,1.258,0.697336,0,0.685492
1764924669,Reaper_1,1,10,779,42,1329,3,4473.2,1.57882,0.931201,0.898541,0.739667,0.876467,0.701062,0.765358,0.99336,1.05321,0.896316,0.69807,0.824563,1.26411,0.545655,1.52521,1.21787,0.870707,0,0.6359
1764924669,Reaper_1,1,6,515,72,1085,2,2922,1.77956,0.52996,1.57424,1.11497,1.39722,0.579627,0.624641,0.882121,0.644673,0.669272,0.829574,0.773936,1.20678,0.507916,1.58522,1.79368,1.01459,0,1.07601
1764924669,Reaper_1,1,4,276,18,1133,0,2140.4,1.29985,0.870797,1.09845,0.977366,0.907298,0.595833,0.558143,1.13156,0.799275,0.945096,0.691272,1.01407,1.3934,0.567328,1.52022,1.58462,0.857141,0,0.954343
1764924669,Reaper_1,1,9,613,23,1127,1,4302.6,1.30681,0.899651,1.24418,0.851408,0.950367,0.593623,0.566407,0.844031,0.505496,0.61256,0.595234,0.622405,1.98784,0.846025,1.34192,1.28403,1.30853,0,0.977526
1764924669,Reaper_1,1,10,623,69,1225,0,4557,1.50727,0.840363,1.44736,0.964911,0.952012,0.742425,0.54031,1.34155,1.05128,1.04556,0.503568,0.747658,1.45723,0.608829,1.47342,1.36055,0.948965,0,0.734524
1764924670,Reaper_1,1,6,314,10,1252,2,3215.6,1.33055,0.779997,1.41377,0.93026,1.04333,0.537445,0.537541,1.29962,0.964682,0.938319,0.540609,0.934493,1.92278,0.62567,1.41016,1.42573,0.968455,0,0.999007
1764924670,Reaper_1,1,10,408,63,129,0,3256.2,1.04342,1.0762,1.68649,0.805289,1.0791,0.666039,0.771723,1.23775,0.82044,0.684991,0.454944,0.790492,1.64919,0.587606,1.5806,1.72149,1.03647,0,0.723169
1764924670,Reaper_1,1,11,781,49,1307,1,4656.6,1.3902,0.780631,1.38377,1.08214,0.77766,0.616969,0.592682,0.931106,0.638191,0.910086,0.609095,1.10811,2.05196,0.613581,1.33906,1.68764,1.29016,0,0.878759
1764924670,Reaper_1,1,5,360,90,1184,1151,675.2,1.30535,0.905915,1.60943,0.796213,0.967563,0.566848,0.763831,0.911311,0.649108,1.14866,0.706571,1.50627,1.72589,0.631806,1.27334,1.29178,1.10407,0,1.15124
1764924670,Reaper_1,1,9,581,6,194,0,3511.2,2.00899,0.806473,1.40545,1.19233,1.19533,0.636973,0.516676,0.782897,0.743369,0.564429,0.558509,0.859063,1.34207,0.517479,1.93048,1.55433,0.90269,0,0.865549
1764924670,Reaper_1,1,7,434,16,1130,1,3054,1.31909,0.78329,1.36765,1.12086,0.755313,0.56212,0.4747,1.34083,0.663093,0.805177,0.499544,0.818734,1.43921,0.772471,1.56576,1.1982,0.914864,0,0.81327
1764924670,Reaper_1,1,8,558,51,1284,0,3592.2,1.52859,0.974765,0.731777,0.913998,0.896516,0.74626,0.442137,1.03993,0.628934,0.910076,0.521654,1.04792,2.0708,0.776132,1.5063,1.34583,1.27569,0,0.930618
1764924670,Reaper_1,1,6,658,35,1088,1,3749.4,1.37616,0.879237,1.61017,0.752765,0.847371,0.544518,0.555521,1.36402,0.603368,0.939476,0.675929,1.03677,1.35757,0.413513,1.66898,1.40337,1.00299,0,0.931062
1764924670,Reaper_1,1,8,552,23,194,1,3234.2,1.69836,0.983752,1.27431,0.821161,1.09299,0.54721,0.579967,1.14298,0.627739,0.985366,0.789268,0.788245,1.74317,0.556455,1.26555,1.23485,1.00763,0,0.700118
1764924670,Reaper_1,1,5,366,59,1159,3,2994.2,1.1251,0.999728,0.947801,1.14275,0.652321,0.711301,0.479779,0.995999,0.524241,0.699833,0.71416,0.839229,1.90984,0.647923,1.32726,1.47022,1.60279,0,0.622215
1764924670,Reaper_1,1,5,263,5,1215,1184,525,1.64132,0.542321,1.13082,1.13522,0.83108,0.469706,0.803077,1.04134,0.445495,1.14383,0.561165,1.01496,2.05589,0.572195,0.849434,1.33267,1.14401,0,0.877058
1764924670,Reaper_1,1,6,564,27,1103,1,3581.4,1.16081,0.899169,1.17158,1.05648,1.02256,0.861047,0.586732,1.25793,0.784033,1.17295,0.595007,1.03806,1.58443,0.627303,1.56537,1.19445,1.08179,0,0.989496
1764924671,Reaper_1,1,5,285,49,1226,0,2401.8,1.31725,0.690081,1.23691,0.883216,0.970499,0.444959,0.4967,1.21625,0.649359,1.07793,0.43779,0.919244,1.49253,0.657923,1.19315,1.37158,1.09251,0,0.792332
1764924671,Reaper_1,1,4,270,34,1144,2,2117.2,1.20009,0.739966,1.18093,0.973172,1.03711,0.766402,0.588882,1.39038,0.915272,0.908256,0.458537,0.846266,1.69262,0.69901,1.46811,1.23467,0.69384,0,0.698608
1764924671,Reaper_1,1,8,428,32,1307,2,3365.6,1.88867,0.737346,1.37042,0.981157,0.881497,0.828491,0.587463,0.957468,0.887276,0.647788,0.895781,1.06891,1.53272,0.726938,1.31113,1.62619,1.07829,0,0.851626
1764924671,Reaper_1,0,0,77,92,10,0,70,1.23503,0.645602,1.42738,1.02942,0.70702,0.448408,0.602581,1.00568,0.804834,0.971758,0.822603,1.08817,1.86578,0.563794,1.54475,1.47619,1.1975,0,0.582339
1764924671,Reaper_1,1,9,450,18,1109,1,3467.2,1.64648,0.764824,1.3619,1.09548,0.738363,0.594821,0.604578,1.43509,0.936263,0.856316,0.723049,0.756529,1.98027,0.703033,1.69459,1.44889,1.17666,0,0.591719
1764924671,Reaper_1,1,4,179,84,1079,0,1837.2,1.43327,1.07043,1.16491,1.12582,0.77015,0.706119,0.65116,1.08006,0.821321,1.11997,0.645964,0.576466,1.33843,0.590873,1.21861,1.70715,0.934747,0,0.563284
1764924671,Reaper_1,1,7,364,51,320,1,2231,1.82293,0.86319,1.28042,0.906151,0.691003,0.72678,0.67791,1.42908,0.593232,0.824238,0.608961,0.803327,1.47975,0.767578,1.32418,1.41983,0.822339,0,0.923874
1764924671,Reaper_1,1,7,531,10,1135,0,3260,1.79165,0.839766,1.11956,1.01975,1.22781,0.708486,0.55192,0.898442,0.754455,0.726347,0.513752,0.694074,1.43403,0.522248,1.47578,1.57135,0.799052,0,0.786817
1764924671,Reaper_1,1,11,453,20,1157,0,3911.6,1.88112,0.839682,1.23712,0.881092,0.955836,0.824287,0.638939,1.20346,0.851506,1.08858,0.619327,0.748272,1.35429,0.568316,1.53875,1.43756,0.813396,0,0.90002
1764924671,Reaper_1,1,7,400,6,1186,1,3540.8,1.87108,1.08535,1.14605,0.838954,0.983596,0.500172,0.812992,1.1642,0.358536,0.653229,0.642986,1.12695,1.44186,0.736819,1.64921,1.58285,1.14243,0,1.03054
1764924671,Reaper_1,1,5,407,22,1140,1,3102,1.33594,0.576918,0.791617,1.01799,0.79744,0.554659,0.465208,1.26338,0.872544,1.04072,0.706998,0.85734,1.51039,0.541442,1.2425,1.21017,0.996604,0,0.640823
1764924671,Reaper_1,1,5,368,30,1859,1810,-26.8,1.57646,0.830647,1.06915,0.834607,0.942054,0.608605,0.589553,1.54505,0.466384,1.21243,0.747743,0.895427,1.69834,0.665899,0.832056,1.39621,1.22788,0,0.93615
1764924672,Reaper_1,1,7,495,40,1236,0,3738.8,1.45162,1.13694,1.00561,0.818136,0.993306,0.586087,0.53679,0.941232,0.769808,1.02897,0.869207,1.27846,1.70545,0.755893,1.80819,0.950731,0.931569,0,0.625125
1764924672,Reaper_1,1,9,693,34,1169,2,3983.2,1.70152,0.936709,1.55709,1.34237,0.772854,0.782544,0.714825,1.11523,0.710061,1.09237,0.461988,0.789163,1.39661,0.729245,1.55439,1.66204,0.965531,0,0.606842
1764924672,Reaper_1,1,7,404,11,1100,1,2975,1.27243,0.983088,1.11641,0.815251,0.962254,0.566661,0.483789,0.869652,0.988297,1.15375,0.843325,0.859468,1.23772,0.463742,1.76438,1.26738,1.16881,0,0.772559
1764924672,Reaper_1,1,9,549,41,1294,3,4286.2,0.997845,0.922808,1.33995,0.63778,0.914368,0.681698,0.360911,1.64087,0.632877,1.01445,0.696809,0.89354,1.72201,0.408919,1.08141,1.08318,1.17607,0,0.82332
1764924672,Reaper_1,0,3,284,99,52,2,1106.6,0.898837,0.642572,0.919447,0.831894,0.906588,0.428633,0.379484,1.24129,0.45641,0.502697,0.600601,0.802805,1.9971,0.572007,1.52947,1.49356,0.913811,0,0.853225
1764924672,Reaper_1,1,7,432,66,1143,0,3512.4,1.05074,0.85544,1.07271,0.965198,0.877374,0.801283,0.72987,1.07105,0.427539,1.02872,0.611291,0.98516,0.707615,0.38369,1.05883,1.3404,0.933565,0,0.86834
1764924672,Reaper_1,1,6,286,54,1154,0,3041.2,1.32576,1.08276,1.25328,0.836833,1.14715,0.801626,0.668439,0.85358,0.806794,1.01627,0.477192,0.749408,1.66349,0.454667,1.12005,1.65934,0.87703,0,0.805343
1764924672,Reaper_1,1,6,584,42,1115,0,3118,1.06798,1.08027,1.78018,0.736692,1.09362,0.57005,0.845,1.39193,1.1148,0.802246,0.412405,0.741629,2.19558,0.498497,1.50598,1.6491,0.979048,0,1.06255
1764924672,Reaper_1,1,4,359,75,119,3,1932.2,2.07122,0.970878,1.16662,1.07107,0.960346,0.706424,0.520713,0.951571,0.587909,1.29823,0.82048,0.827895,1.87529,0.627664,1.72421,1.31972,1.20245,0,0.889341
