gameId,name,weapon,won,shotsFired,shotsHit,kills,damageDealt,damageTaken,causeOfDeath,roundsSurvived,deathRow,deathCol,timesStuck
1764984116,Reaper_1,S,0,18,22,3,375,96,collision with Hammer_3,53,19,11,0
1764984116,Reaper_1,S,1,36,44,12,718,15,alive,360,-1,-1,0
1764984116,Reaper_1,S,0,4,5,0,92,100,flamethrower from Flame_6,11,4,17,0
1764984116,Reaper_1,S,1,32,36,8,616,15,alive,561,-1,-1,0
1764984116,Reaper_1,S,1,24,26,8,395,50,alive,434,-1,-1,0
1764984116,Reaper_1,S,1,27,39,11,653,35,alive,396,-1,-1,0
1764984116,Reaper_1,S,1,19,20,6,324,7,alive,491,-1,-1,0
1764984116,Reaper_1,S,1,27,32,8,526,54,alive,325,-1,-1,0
1764984116,Reaper_1,S,1,27,34,8,560,29,alive,312,-1,-1,0
1764984116,Reaper_1,S,0,25,27,5,446,103,collision with Hammer_3,58,14,0,0
1764984116,Reaper_1,S,1,37,48,12,799,11,alive,380,-1,-1,0
1764984117,Reaper_1,S,0,1,1,0,17,100,railgun from Rat_4,2,1,14,0
1764984117,Reaper_1,S,0,7,7,1,116,100,collision with Flame_8,11,6,3,0
1764984117,Reaper_1,S,1,14,15,3,243,73,alive,254,-1,-1,0
1764984117,Reaper_1,S,0,5,7,1,120,104,collision with Rat_7,12,16,5,0
1764984117,Reaper_1,S,0,3,4,0,62,100,railgun from Rat_2,5,14,4,0
1764984117,Reaper_1,S,1,18,18,5,295,0,alive,336,-1,-1,0
1764984117,Reaper_1,S,1,11,18,6,302,32,alive,160,-1,-1,0
1764984117,Reaper_1,S,0,3,3,0,47,100,railgun from Rat_5,6,15,12,0
1764984117,Reaper_1,S,1,27,32,6,553,83,alive,200,-1,-1,0
1764984117,Reaper_1,S,1,3,3,1,49,17,alive,492,-1,-1,0
1764984117,Reaper_1,S,1,38,47,10,804,0,alive,405,-1,-1,0
1764984117,Reaper_1,S,1,12,17,4,276,78,alive,311,-1,-1,0
1764984117,Reaper_1,S,0,14,20,5,342,99,collision with Flame_1,27,16,3,0
1764984117,Reaper_1,S,1,26,30,7,513,21,alive,295,-1,-1,0
1764984117,Reaper_1,S,1,27,38,8,645,54,alive,121,-1,-1,0
1764984117,Reaper_1,S,0,11,14,3,240,105,collision with Hammer_7,17,10,1,0
1764984117,Reaper_1,S,0,1,1,0,15,92,railgun from Rat_1,23,16,19,0
1764984117,Reaper_1,S,0,7,9,4,128,101,collision with Rat_6,78,3,14,0
1764984117,Reaper_1,S,0,3,4,0,66,100,railgun from Rat_1,17,18,19,0
1764984117,Reaper_1,S,1,12,18,4,285,21,alive,293,-1,-1,0
1764984117,Reaper_1,S,1,22,28,6,457,10,alive,230,-1,-1,0
1764984117,Reaper_1,S,1,24,24,7,364,81,alive,507,-1,-1,0
1764984117,Reaper_1,S,1,31,34,10,562,23,alive,382,-1,-1,0
1764984117,Reaper_1,S,1,25,26,7,398,79,alive,384,-1,-1,0
1764984117,Reaper_1,S,1,30,32,8,518,74,alive,340,-1,-1,0
1764984117,Reaper_1,S,1,27,32,10,504,35,alive,464,-1,-1,0
1764984117,Reaper_1,S,1,18,19,4,313,78,alive,360,-1,-1,0
1764984117,Reaper_1,S,1,21,23,4,385,63,alive,279,-1,-1,0
1764984117,Reaper_1,S,1,34,41,8,693,64,alive,477,-1,-1,0
1764984117,Reaper_1,S,1,24,27,8,424,26,alive,601,-1,-1,0
1764984117,Reaper_1,S,0,2,2,0,33,97,railgun from Rat_7,8,4,7,0
1764984117,Reaper_1,S,1,30,35,8,574,11,alive,150,-1,-1,0
1764984117,Reaper_1,S,1,23,25,9,427,9,alive,137,-1,-1,0
1764984117,Reaper_1,S,1,27,43,9,720,24,alive,388,-1,-1,0
1764984117,Reaper_1,S,0,10,22,4,370,97,collision with Rat_1,12,7,0,0
1764984117,Reaper_1,S,0,8,13,2,216,99,railgun from Rat_3,12,4,4,0
1764984118,Reaper_1,S,1,16,18,7,291,60,alive,290,-1,-1,0
1764984118,Reaper_1,S,1,18,27,6,463,32,alive,371,-1,-1,0
1764984118,Reaper_1,S,1,26,43,5,725,8,alive,310,-1,-1,0
1764984118,Reaper_1,S,1,24,28,6,462,43,alive,112,-1,-1,0
1764984118,Reaper_1,S,1,7,9,2,157,7,alive,353,-1,-1,0
1764984118,Reaper_1,S,1,28,32,6,525,5,alive,456,-1,-1,0
1764984118,Reaper_1,S,1,20,20,4,334,35,alive,314,-1,-1,0
1764984118,Reaper_1,S,1,11,15,4,235,47,alive,331,-1,-1,0
1764984118,Reaper_1,S,1,25,28,7,485,46,alive,121,-1,-1,0
1764984118,Reaper_1,S,1,27,29,9,448,10,alive,114,-1,-1,0
1764984118,Reaper_1,S,0,17,21,5,325,105,collision with Hammer_1,42,19,3,0
1764984118,Reaper_1,S,0,20,23,1,396,89,hammer from Hammer_8,40,11,15,0
1764984118,Reaper_1,S,0,10,11,3,190,91,flame,46,13,4,0
1764984118,Reaper_1,S,1,15,16,5,285,82,alive,335,-1,-1,0
1764984118,Reaper_1,S,1,24,25,7,410,59,alive,333,-1,-1,0
1764984118,Reaper_1,S,1,31,39,10,621,46,alive,150,-1,-1,0
